,0,1,2
343,0.3,0.9,0.4
344,0.3,0.9,0.6
345,0.3,0.9,0.8
346,0.3,0.9,1.0
347,0.3,0.9,1.2
348,0.3,0.9,1.4
349,0.3,0.9,1.6
350,0.3,0.9,1.8
351,0.3,0.9,2.0
352,0.3,1.0,1e-05
353,0.3,1.0,0.2
354,0.3,1.0,0.4
355,0.3,1.0,0.6
356,0.3,1.0,0.8
357,0.3,1.0,1.0
358,0.3,1.0,1.2
359,0.3,1.0,1.4
360,0.3,1.0,1.6
361,0.3,1.0,1.8
362,0.3,1.0,2.0
363,0.45,1e-05,1e-05
364,0.45,1e-05,0.2
365,0.45,1e-05,0.4
366,0.45,1e-05,0.6
367,0.45,1e-05,0.8
368,0.45,1e-05,1.0
369,0.45,1e-05,1.2
370,0.45,1e-05,1.4
371,0.45,1e-05,1.6
372,0.45,1e-05,1.8
373,0.45,1e-05,2.0
374,0.45,0.1,1e-05
375,0.45,0.1,0.2
376,0.45,0.1,0.4
377,0.45,0.1,0.6
378,0.45,0.1,0.8
379,0.45,0.1,1.0
380,0.45,0.1,1.2
381,0.45,0.1,1.4
382,0.45,0.1,1.6
383,0.45,0.1,1.8
384,0.45,0.1,2.0
385,0.45,0.2,1e-05
386,0.45,0.2,0.2
387,0.45,0.2,0.4
388,0.45,0.2,0.6
389,0.45,0.2,0.8
390,0.45,0.2,1.0
391,0.45,0.2,1.2
392,0.45,0.2,1.4
393,0.45,0.2,1.6
394,0.45,0.2,1.8
395,0.45,0.2,2.0
396,0.45,0.3,1e-05
397,0.45,0.3,0.2
398,0.45,0.3,0.4
399,0.45,0.3,0.6
400,0.45,0.3,0.8
401,0.45,0.3,1.0
402,0.45,0.3,1.2
403,0.45,0.3,1.4
404,0.45,0.3,1.6
