,0,1,2
529,-0.175,-0.1,-0.1
530,-0.175,-0.1,-0.075
531,-0.175,-0.1,-0.05
532,-0.175,-0.1,-0.025
533,-0.175,-0.1,0
534,-0.175,-0.1,0.025
535,-0.175,-0.1,0.05
536,-0.175,-0.1,0.075
537,-0.175,-0.1,0.1
538,-0.175,-0.1,0.125
539,-0.175,-0.1,0.15
540,-0.175,-0.1,0.175
541,-0.175,-0.1,0.2
542,-0.175,-0.1,0.225
543,-0.175,-0.1,0.25
544,-0.175,-0.1,0.275
545,-0.175,-0.1,0.3
546,-0.175,-0.075,-0.2
547,-0.175,-0.075,-0.175
548,-0.175,-0.075,-0.15
549,-0.175,-0.075,-0.125
550,-0.175,-0.075,-0.1
551,-0.175,-0.075,-0.075
552,-0.175,-0.075,-0.05
553,-0.175,-0.075,-0.025
554,-0.175,-0.075,0
555,-0.175,-0.075,0.025
556,-0.175,-0.075,0.05
557,-0.175,-0.075,0.075
558,-0.175,-0.075,0.1
559,-0.175,-0.075,0.125
560,-0.175,-0.075,0.15
561,-0.175,-0.075,0.175
562,-0.175,-0.075,0.2
563,-0.175,-0.075,0.225
564,-0.175,-0.075,0.25
565,-0.175,-0.075,0.275
566,-0.175,-0.075,0.3
567,-0.175,-0.05,-0.2
568,-0.175,-0.05,-0.175
569,-0.175,-0.05,-0.15
570,-0.175,-0.05,-0.125
571,-0.175,-0.05,-0.1
572,-0.175,-0.05,-0.075
573,-0.175,-0.05,-0.05
574,-0.175,-0.05,-0.025
575,-0.175,-0.05,0
576,-0.175,-0.05,0.025
577,-0.175,-0.05,0.05
578,-0.175,-0.05,0.075
579,-0.175,-0.05,0.1
580,-0.175,-0.05,0.125
581,-0.175,-0.05,0.15
582,-0.175,-0.05,0.175
583,-0.175,-0.05,0.2
584,-0.175,-0.05,0.225
585,-0.175,-0.05,0.25
586,-0.175,-0.05,0.275
587,-0.175,-0.05,0.3
588,-0.175,-0.025,-0.2
589,-0.175,-0.025,-0.175
590,-0.175,-0.025,-0.15
591,-0.175,-0.025,-0.125
592,-0.175,-0.025,-0.1
593,-0.175,-0.025,-0.075
594,-0.175,-0.025,-0.05
595,-0.175,-0.025,-0.025
596,-0.175,-0.025,0
597,-0.175,-0.025,0.025
598,-0.175,-0.025,0.05
599,-0.175,-0.025,0.075
600,-0.175,-0.025,0.1
601,-0.175,-0.025,0.125
602,-0.175,-0.025,0.15
603,-0.175,-0.025,0.175
604,-0.175,-0.025,0.2
605,-0.175,-0.025,0.225
606,-0.175,-0.025,0.25
607,-0.175,-0.025,0.275
608,-0.175,-0.025,0.3
609,-0.175,0,-0.2
610,-0.175,0,-0.175
611,-0.175,0,-0.15
612,-0.175,0,-0.125
613,-0.175,0,-0.1
614,-0.175,0,-0.075
615,-0.175,0,-0.05
616,-0.175,0,-0.025
617,-0.175,0,0
618,-0.175,0,0.025
619,-0.175,0,0.05
620,-0.175,0,0.075
621,-0.175,0,0.1
622,-0.175,0,0.125
623,-0.175,0,0.15
624,-0.175,0,0.175
625,-0.175,0,0.2
626,-0.175,0,0.225
627,-0.175,0,0.25
628,-0.175,0,0.275
629,-0.175,0,0.3
630,-0.175,0.025,-0.2
631,-0.175,0.025,-0.175
632,-0.175,0.025,-0.15
633,-0.175,0.025,-0.125
634,-0.175,0.025,-0.1
635,-0.175,0.025,-0.075
636,-0.175,0.025,-0.05
637,-0.175,0.025,-0.025
638,-0.175,0.025,0
639,-0.175,0.025,0.025
640,-0.175,0.025,0.05
641,-0.175,0.025,0.075
642,-0.175,0.025,0.1
643,-0.175,0.025,0.125
644,-0.175,0.025,0.15
645,-0.175,0.025,0.175
646,-0.175,0.025,0.2
647,-0.175,0.025,0.225
648,-0.175,0.025,0.25
649,-0.175,0.025,0.275
650,-0.175,0.025,0.3
651,-0.175,0.05,-0.2
652,-0.175,0.05,-0.175
653,-0.175,0.05,-0.15
654,-0.175,0.05,-0.125
655,-0.175,0.05,-0.1
656,-0.175,0.05,-0.075
657,-0.175,0.05,-0.05
658,-0.175,0.05,-0.025
